Verified in DB,Database Product Name,Source,﻿Item ID,Department Name,Item Name,Size,Item Size,Base Price Palmers,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,108,008 BAKERY,Assorted Pretzel,1 EA,1 EA,$1.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,109,008 BAKERY,Angel Food Cake Slice,1 EA,1 EA,$1.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,110,008 BAKERY,Choc. Chunk Cookie,1 EA,1 EA,$2.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,121,008 BAKERY,Orwasher Cinnamon Raisin Br1 EAd,1 EA,1 EA,$7.75,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,130,008 BAKERY,Apple Cinnamon Hm Br1 EAd,1 EA,1 EA,$8.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,132,008 BAKERY,Cheese Roll,1 EA,1 EA,$0.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,133,008 BAKERY,Onion Roll,1 EA,1 EA,$0.65,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,134,008 BAKERY,Portuguese Roll,1 EA,1 EA,$0.65,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,135,008 BAKERY,Poppy Seed Roll,1 EA,1 EA,$0.65,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,138,008 BAKERY,Sub Roll,1 EA,1 EA,$0.65,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,139,008 BAKERY,Wh1 EAt Sub Roll,1 EA,1 EA,$0.65,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,140,008 BAKERY,Plain Bagel,1 EA,1 EA,$0.89,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,142,008 BAKERY,Onion Bagel,1 EA,1 EA,$1.75,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,143,008 BAKERY,Everything Bagel,1 EA,1 EA,$1.75,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,145,008 BAKERY,Cheese Bagel,1 EA,1 EA,$0.89,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,161,008 BAKERY,Specialty Cake,1 EA,1 EA,$9.49,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,162,008 BAKERY,Basic Cupcake,1 EA,1 EA,$3.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,165,008 BAKERY,Mini Basic Cupcake,1 EA,1 EA,$1.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,182,008 BAKERY,Kaiser Rolls,1 EA,5 OZ,$0.79,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,186,008 BAKERY,Butter Cookies,1 EA,1 CT,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,190,008 BAKERY,Donuts,1 EA,1 CT,$0.79,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,191,008 BAKERY,Large Croissants,1 EA,3 OZ,$1.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,199,008 BAKERY,Scones,1 EA,1 CT,$1.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,206,008 BAKERY,Palmer's Own Brioche Roll,1 EA,1 EA,$0.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,549,008 BAKERY,Mint Meringue,1 EA,1 CT,$5.49,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8000,008 BAKERY,100% Whole Wh1 EAt,1 EA,1 EA,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8006,008 BAKERY,Braided Challah Br1 EAd,1 EA,1 EA,$6.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8007,008 BAKERY,Cheddar Brioche Pull-Apart Rolls,1 EA,6-Pack,$9.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8009,008 BAKERY,Cinnamon Swirl Loaf,1 EA,1 EA,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8013,008 BAKERY,Cranberry Raisin Dinner Roll,1 EA,6-Pack,$7.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8016,008 BAKERY,Crusty Italian Round,1 EA,1 EA,$4.99,,,,,,,,,,,,,,,,,,,,
